,zipcode,price_mean,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,m²_living,m²_lot,dormitory_type,age_build,footage,basement,renovation,level,condition_type,year,month,season
5,98001.0,281872.41782729805,3353400435.0,2014-07-21,230000.0,3.0,2.0,1450.0,11204.0,1.0,0.0,0.0,3.0,7.0,1450.0,0.0,2003.0,0.0,47.2639,-122.252,134.70499999999998,1040.8516,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,7.0,summer
6,98001.0,281872.41782729805,9262800171.0,2015-03-24,252000.0,4.0,1.0,1550.0,19800.0,1.0,0.0,0.0,4.0,7.0,1050.0,500.0,1969.0,0.0,47.3117,-122.27,143.995,1839.4199999999998,house,build > 1955,Less than 100m²,yes,no,Low,regular,2015.0,3.0,winter
7,98001.0,281872.41782729805,3353401710.0,2014-09-23,227950.0,3.0,1.0,1670.0,8230.0,1.0,0.0,0.0,5.0,7.0,1670.0,0.0,1954.0,0.0,47.2613,-122.255,155.143,764.567,house,build <1955,Less than 100m²,no,no,Low,good,2014.0,9.0,summer
8,98001.0,281872.41782729805,8159610030.0,2014-07-22,196000.0,3.0,2.0,2070.0,11576.0,2.0,0.0,0.0,3.0,7.0,2070.0,0.0,1974.0,0.0,47.3417,-122.271,192.303,1075.4104,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,7.0,summer
10,98001.0,281872.41782729805,7967200060.0,2014-09-08,243000.0,3.0,1.0,1450.0,12125.0,1.0,0.0,0.0,4.0,7.0,1450.0,0.0,1981.0,0.0,47.3575,-122.28,134.70499999999998,1126.4125,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,9.0,summer
11,98001.0,281872.41782729805,8159610060.0,2014-11-19,233000.0,3.0,2.0,1400.0,9177.0,1.0,0.0,0.0,3.0,7.0,1400.0,0.0,1974.0,0.0,47.3415,-122.272,130.06,852.5432999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,11.0,fall
12,98001.0,281872.41782729805,5066400483.0,2014-11-20,249900.0,3.0,1.0,1380.0,14000.0,1.0,0.0,0.0,4.0,5.0,1380.0,0.0,1939.0,1957.0,47.294,-122.281,128.202,1300.6,house,build <1955,Less than 100m²,no,yes,Low,regular,2014.0,11.0,fall
13,98001.0,281872.41782729805,3329530200.0,2014-09-10,205000.0,3.0,2.0,1410.0,8384.0,1.0,0.0,0.0,3.0,7.0,1410.0,0.0,1985.0,0.0,47.3315,-122.263,130.989,778.8736,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,9.0,summer
14,98001.0,281872.41782729805,5462100240.0,2014-06-25,196500.0,3.0,1.0,1320.0,9000.0,1.0,0.0,0.0,3.0,7.0,1320.0,0.0,1966.0,0.0,47.3461,-122.272,122.628,836.1,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,6.0,spring
15,98001.0,281872.41782729805,8856004730.0,2014-09-17,199950.0,2.0,2.0,1590.0,20917.0,1.0,0.0,0.0,3.0,5.0,1590.0,0.0,1920.0,0.0,47.2786,-122.25,147.71099999999998,1943.1893,apartament,build <1955,Less than 100m²,no,no,Low,regular,2014.0,9.0,summer
17,98001.0,281872.41782729805,3353400860.0,2014-07-17,249900.0,3.0,1.0,2080.0,12522.0,1.0,0.0,0.0,5.0,6.0,2080.0,0.0,1950.0,0.0,47.267,-122.25,193.232,1163.2938,house,build <1955,Less than 100m²,no,no,Low,good,2014.0,7.0,summer
18,98001.0,281872.41782729805,3751600030.0,2014-07-17,100000.0,2.0,1.0,770.0,17334.0,1.0,0.0,0.0,3.0,7.0,770.0,0.0,1978.0,0.0,47.2997,-122.269,71.533,1610.3286,apartament,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,7.0,summer
20,98001.0,281872.41782729805,1687000270.0,2014-05-28,267000.0,3.0,2.0,2495.0,4400.0,2.0,0.0,0.0,3.0,8.0,2495.0,0.0,2007.0,0.0,47.288,-122.283,231.78549999999998,408.76,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
23,98001.0,281872.41782729805,1311100520.0,2015-04-14,250000.0,4.0,2.0,1730.0,8400.0,1.0,0.0,0.0,3.0,7.0,1730.0,0.0,1962.0,0.0,47.3386,-122.288,160.71699999999998,780.36,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,4.0,spring
27,98001.0,281872.41782729805,3356406510.0,2014-05-30,196440.0,3.0,2.0,1560.0,7352.0,1.0,0.0,0.0,3.0,6.0,1560.0,0.0,1992.0,0.0,47.2804,-122.251,144.924,683.0008,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
