,neighbourhood_group,neighbourhood,rentabilidade
0,Staten Island,Oakwood,32.544242138146515
1,Queens,Little Neck,56.392665776963874
2,Bronx,West Farms,73.94243328868029
3,Queens,Breezy Point,87.05125201454405
4,Staten Island,Port Richmond,142.4227444632114
5,Queens,Edgemere,170.97598007074126
6,Staten Island,Todt Hill,177.3475702178014
7,Staten Island,Westerleigh,184.98429512953814
8,Bronx,Olinville,189.75759124135323
9,Staten Island,New Dorp Beach,200.69803277031605
10,Queens,Bellerose,201.12753316275777
11,Bronx,Co-op City,205.70056271221893
12,Staten Island,Midland Beach,232.15284584571114
13,Bronx,Eastchester,240.77737093508736
14,Staten Island,Bull's Head,243.87298568962345
15,Staten Island,Prince's Bay,251.10664159783877
16,Queens,Jamaica Hills,259.586958025258
17,Staten Island,Arrochar,285.21001721809216
18,Bronx,Fieldston,290.6913565917289
19,Bronx,Morrisania,306.41693310033406
20,Bronx,Clason Point,316.8637602159382
21,Queens,Bayswater,319.6180283768621
22,Staten Island,Emerson Hill,327.4982292103393
23,Staten Island,Randall Manor,335.5553200778223
24,Bronx,Westchester Square,338.9414711965049
25,Queens,Belle Harbor,353.4733034086907
26,Bronx,North Riverdale,377.9450486603459
27,Bronx,Tremont,385.53390780444596
28,Brooklyn,Mill Basin,389.794242195901
29,Bronx,Unionport,402.1814727105318
30,Queens,Kew Gardens,434.28086808316823
31,Queens,Laurelton,442.3377661013891
32,Staten Island,Mariners Harbor,447.55498652574164
33,Queens,Douglaston,448.77143106594303
34,Bronx,Norwood,452.1054910327444
35,Bronx,Belmont,456.9615850966874
36,Queens,Whitestone,458.79275027778834
37,Bronx,Bronxdale,463.8877738825034
38,Staten Island,Graniteville,468.1441698910544
39,Staten Island,Dongan Hills,477.8699046168397
40,Queens,Corona,479.5215634424739
41,Bronx,Edenwald,480.730366377807
42,Queens,Howard Beach,483.53439971626494
43,Bronx,Hunts Point,489.19847980537634
44,Queens,Far Rockaway,496.46689934981777
45,Bronx,Soundview,497.17300022987723
46,Queens,Holliswood,499.64308615618665
47,Queens,Briarwood,530.8396514352723
48,Staten Island,South Beach,531.5507027638405
49,Bronx,Riverdale,537.3121560805743
50,Staten Island,New Springville,558.0932495285872
51,Queens,Hollis,564.2218654813269
52,Staten Island,West Brighton,568.6162205976464
53,Staten Island,Arden Heights,571.8684450669668
54,Queens,Woodhaven,590.579436291397
55,Brooklyn,Brighton Beach,594.9223531319569
56,Queens,Cambria Heights,596.7401557163154
57,Staten Island,Willowbrook,598.0786544620005
58,Bronx,East Morrisania,605.929904261104
59,Bronx,Parkchester,607.4242160107334
60,Queens,Kew Gardens Hills,616.6668367205012
61,Bronx,Concourse Village,641.4454541373426
62,Bronx,Morris Park,644.1255650937436
63,Brooklyn,Flatlands,644.1672714073686
64,Brooklyn,Borough Park,646.474631389826
65,Staten Island,New Brighton,660.030585817229
66,Staten Island,Rosebank,668.2576567977944
67,Queens,St. Albans,674.7627755973293
68,Queens,Richmond Hill,702.6931073709076
69,Staten Island,Howland Hook,710.1534448875209
70,Staten Island,Concord,753.0704396888674
71,Brooklyn,Bath Beach,760.786078196274
72,Bronx,Fordham,762.6758062072919
73,Bronx,Woodlawn,779.8740043709186
74,Brooklyn,Coney Island,790.2010635655157
75,Bronx,Morris Heights,809.3091564306555
76,Brooklyn,Sheepshead Bay,816.9414631559949
77,Queens,Jamaica,819.4411277811134
78,Staten Island,Rossville,820.1901391791904
79,Bronx,Williamsbridge,829.8942736876003
80,Queens,Rosedale,830.1955969570355
81,Staten Island,Tompkinsville,831.2399046142369
82,Queens,Neponsit,831.7108166616272
83,Brooklyn,Dyker Heights,831.7197110095952
84,Bronx,Throgs Neck,840.6591845949337
85,Queens,College Point,853.9055370739304
86,Bronx,Longwood,864.6681442252676
87,Brooklyn,Midwood,865.8648297968364
88,Bronx,Kingsbridge,875.5697935483659
89,Brooklyn,Sea Gate,880.1053383767558
90,Manhattan,Marble Hill,883.6747141668523
91,Queens,Queens Village,889.3737548453704
92,Brooklyn,Kensington,907.1503510316531
93,Staten Island,Clifton,909.6890715472838
94,Queens,South Ozone Park,911.7463829889722
95,Queens,Flushing,915.0970623863282
96,Staten Island,Stapleton,931.9950250792376
97,Brooklyn,Canarsie,937.8080805860737
98,Bronx,Allerton,946.6931677217488
99,Queens,Rego Park,991.3914412426778
100,Queens,Maspeth,996.5412370695849
101,Bronx,Mount Eden,1005.2377487662719
102,Brooklyn,Fort Hamilton,1009.3803524345343
103,Bronx,Pelham Bay,1031.533003164701
104,Bronx,Van Nest,1033.848134658791
105,Bronx,Wakefield,1040.9107706973678
106,Bronx,Schuylerville,1066.5762658308827
107,Queens,Bayside,1068.5326715805065
108,Bronx,University Heights,1077.6612123731798
