,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,rentabilidade
5499,3979611.0,Located at the heart of Manhattan,19407840.0,Peng,Manhattan,Roosevelt Island,40.75592,-73.95515,Entire home/apt,1400.0,90.0,31.0,2015-12-03,0.53,1.0,88.0,421007.4545874239
2617,1367775.0,Furnished room with private bathroom,7419960.0,Marilyn,Manhattan,Roosevelt Island,40.76175,-73.95012,Private room,54.0,30.0,5.0,2018-08-18,0.15,1.0,2.0,5918.483758531403
31368,24374428.0,Quiet two BEDROOM APT in MANHATTAN UPPER EAST SIDE,183950956.0,Dante,Manhattan,Roosevelt Island,40.75916,-73.95124,Entire home/apt,220.0,1.0,76.0,2019-06-24,5.3,1.0,60.0,4317.085436572534
28055,21913309.0,One nice room on the Roosevelt Island; 罗岛一间卧室出租,159884558.0,Lily,Manhattan,Roosevelt Island,40.76191,-73.94934,Private room,45.0,25.0,37.0,2018-07-01,1.89,1.0,149.0,3546.4549839269266
9285,7093920.0,Roosevelt Island Charm,37181980.0,Svetlana,Manhattan,Roosevelt Island,40.76193,-73.94933,Private room,83.0,2.0,178.0,2019-07-05,3.72,1.0,255.0,2775.5513029475997
5574,4053287.0,Spacious Apartment with River Views!,21019260.0,Michael And Donna,Manhattan,Roosevelt Island,40.76365,-73.94914,Entire home/apt,125.0,60.0,6.0,2019-06-30,0.11,1.0,278.0,2743.9026583611076
22381,18076816.0,Beautiful Island life in NYC,20600569.0,Tiffany,Manhattan,Roosevelt Island,40.76213,-73.94971,Private room,100.0,2.0,97.0,2019-06-21,3.57,2.0,142.0,2442.0177526433654
39797,30940780.0,Waterfront Room with Manhattan View and Balcony,6983558.0,Ben,Manhattan,Roosevelt Island,40.76358,-73.94761,Private room,150.0,2.0,14.0,2019-07-07,2.25,1.0,7.0,2381.1761799581313
14054,10732197.0,Live on an island in NYC!,22774265.0,Pika,Manhattan,Roosevelt Island,40.76189,-73.94934,Private room,64.0,3.0,51.0,2019-06-30,1.28,1.0,40.0,2064.334856557918
37393,29678746.0,KalaJones,84077949.0,Gunmala,Manhattan,Roosevelt Island,40.7662,-73.94676,Entire home/apt,250.0,3.0,2.0,2019-01-04,0.31,1.0,1.0,2000.0
7009,5037654.0,East River view,26005018.0,Pia,Manhattan,Roosevelt Island,40.76193,-73.94942,Private room,65.0,3.0,43.0,2019-05-28,0.81,1.0,35.0,1889.764913572963
